battle_id,team_side,player_tag,deck_id,starting_trophies,trophy_change,crowns,is_winner
000cfb6c2bf36c5ece07bb97b9c2d56d,0,#2P2Q99G9C,2293,7,,0,0
000cfb6c2bf36c5ece07bb97b9c2d56d,1,#9RQ8QVLVR,4013,8,1,3,1
0029844291e1dc62f25c6b45ede0ed2e,0,#UV9L0C9LR,1440,8238,30,3,1
0029844291e1dc62f25c6b45ede0ed2e,1,#VLVCG82R2,489,8238,-30,0,0
00367046816274c3e2280fc498ba9dc8,0,#8902Y88LG,2429,1,1,3,1
00367046816274c3e2280fc498ba9dc8,1,#UJ88G2UQU,2430,,,0,0
00568a511fd7430064205463ce2e22ae,0,#8PCCRLCRC,3210,7,1,1,1
00568a511fd7430064205463ce2e22ae,1,#VRVLR0C8R,3211,8,,0,0
005eb957285270edd188faa67a00e262,0,#22C0LY9J8,697,,1,1,1
005eb957285270edd188faa67a00e262,1,#PGP2VGC9U,702,,,0,0
00692b909bac71cf014aa3c64ca83611,0,#28UJ0PGPJ,2520,1,,0,0
00692b909bac71cf014aa3c64ca83611,1,#JCVVYJ2U9,2521,1,1,1,1
0071b06fabd83418aaae328f5324196b,0,#8LPJR8YC2,49,,,1,0
0071b06fabd83418aaae328f5324196b,1,#2PYC222JJ,30,5,1,2,1
008db65a54f8a52f3e9d717013207353,0,#U9VPQVVG,4101,10000,,1,0
008db65a54f8a52f3e9d717013207353,1,#C00LG288Q,4102,10000,,2,1
009b39e63aba097c42de3664c6db3c4c,0,#UJ82800RP,1388,2182,30,3,1
009b39e63aba097c42de3664c6db3c4c,1,#VYJVVRU9L,1403,2182,-30,0,0
00a6d40167e59169149ab1a13428ac8a,0,#20GLQ89U2R,394,7044,31,2,1
00a6d40167e59169149ab1a13428ac8a,1,#PQR2YCGP2,2895,7057,-31,0,0
00cfa2075e4d4e031df282f9610927a2,0,#YL2LLRPC9,,,,0,0
00cfa2075e4d4e031df282f9610927a2,1,#R8QCCJL99,1822,10000,,3,1
00ff4035b61573612d9c939f7d6af4d7,0,#2GLUJVVP2,2571,,,0,0
00ff4035b61573612d9c939f7d6af4d7,1,#PY8LCLLL0,2572,,,1,1
012fefb3e12af924fe0c9df4bab40d29,0,#2P2Q99G9C,2293,2,1,1,1
012fefb3e12af924fe0c9df4bab40d29,1,#28VLY2Q,4010,,,0,0
01411706dc355a5b89a78c318cc01a41,0,#CG289JR,103,1,,0,0
01411706dc355a5b89a78c318cc01a41,1,#PUYGYC88,133,6,1,2,1
0144c9c61b1adbf1f20f88d49ff26d17,0,#UQQ09RQVR,3455,3,,0,0
0144c9c61b1adbf1f20f88d49ff26d17,1,#VR082UP8P,3456,1,1,1,1
01531bddbfc34be0ac1528810cf5e62e,0,#VCRCCR0CV,333,4904,-30,0,0
01531bddbfc34be0ac1528810cf5e62e,1,#V2JQC9V2U,1048,4904,30,3,1
01567d1d9bd598f4e56cbb031a15f6c1,0,#CVLLL2CYR,1858,,,0,0
01567d1d9bd598f4e56cbb031a15f6c1,1,#JJY8YGRP9,153,1,1,1,1
01696e1256414924c120a0ba67962015,0,#JJVYVRU0J,,,,3,1
01696e1256414924c120a0ba67962015,1,#CRL2RYCJR,1012,3630,,0,0
016c572cee7c9bc81bf9bc8fc29f6558,0,#8Q9QJV22,,,,0,0
016c572cee7c9bc81bf9bc8fc29f6558,1,#20QVR20UC,637,10000,,3,1
0177d4bd3e072dde8f7d4b10e188d2dc,0,#CG289JR,103,,1,3,1
0177d4bd3e072dde8f7d4b10e188d2dc,1,#UV9VGC9VG,2306,,,0,0
0194890b84c840688f98274f22699700,0,#JYR92V8Q,2757,,,1,0
0194890b84c840688f98274f22699700,1,#GCRY2C0C,2758,,1,3,1
01a3879143645559018265290bdaa3ae,0,#20GLQ89U2R,2904,,,1,1
01a3879143645559018265290bdaa3ae,1,#V0QVQL2LJ,2907,,,0,0
01b24a93671d1d003980db36a5d31981,0,#L09YVPJCG,3342,,,0,0
01b24a93671d1d003980db36a5d31981,1,#8YPJYCJ02,3343,,1,3,1
01b2919d3409ad9e078ba5ac10c50a4b,0,#RPQJVQ2J,491,10232,-29,0,0
01b2919d3409ad9e078ba5ac10c50a4b,1,#8V8UCUY9,4191,10234,29,1,1
01babbb8aea50fcd5eab992b90887bd3,0,#V0QV2GLGC,3277,2,1,1,1
01babbb8aea50fcd5eab992b90887bd3,1,#UCC90RCPL,3278,3,,0,0
01bb74b8d3fbcf36e89c11df0e175e0b,0,#JJVYVRU0J,251,,30,3,1
01bb74b8d3fbcf36e89c11df0e175e0b,1,#V9LGP8UPQ,1003,,,0,0
01ca938a5d9b5f672f76bd619e96c369,0,#LQLY9PUQC,466,14550,150,1,1
01ca938a5d9b5f672f76bd619e96c369,1,#UPLLPV9RL,4070,14555,-150,0,0
01d3d0c90bd14525c941cee57cfd28d4,0,#CRVPCJR0V,1375,10000,,3,1
01d3d0c90bd14525c941cee57cfd28d4,1,#P8RG8UP00,,,,0,0
01d43f5d228368bc92073a9b124daa22,0,#VRL82UPU2,3020,,,0,0
01d43f5d228368bc92073a9b124daa22,1,#8Y2GLYQ02,803,,,1,1
01f4253013e1a1b08c28992fca74253a,0,#YLQVVQLV,729,,1,3,1
01f4253013e1a1b08c28992fca74253a,1,#289Y9LQ9,730,4,,0,0
0205f806df5122fc1e91a9e76f639c7b,0,#JLV0UUVJ8,2953,9646,-30,0,0
0205f806df5122fc1e91a9e76f639c7b,1,#VGV8RVP9J,2955,9639,30,3,1
02104903ab95174fce3553ce76db1889,0,#CVLLL2CYR,1880,1,,1,0
02104903ab95174fce3553ce76db1889,1,#90RUPGGPU,1881,,1,3,1
022d5fee41defae8f24f5ade5a7f38e2,0,#8902Y88LG,2409,1,1,1,1
022d5fee41defae8f24f5ade5a7f38e2,1,#PVCR9PQR2,2410,1,,0,0
023690c5e76948756c40f96c0ffbe8f4,0,#JJVYVRU0J,979,4,,0,0
023690c5e76948756c40f96c0ffbe8f4,1,#VJQJLJ2Q0,980,5,1,1,1
025bc2f8add2d8b45fcc5b7a823f02aa,0,#8C0QC8RQ2,2085,10000,,0,0
025bc2f8add2d8b45fcc5b7a823f02aa,1,#92LY9L2R9,2086,10000,150,1,1
0261a7a8faa74b41ad00b4ada28bad65,0,#C28VCQJPV,3557,1,1,1,1
0261a7a8faa74b41ad00b4ada28bad65,1,#JJ2YQJGCR,3558,1,,0,0
0261b1b36f4db0de921e4f9bdd661ce6,0,#902PCG9V2,,10090,,2,1
0261b1b36f4db0de921e4f9bdd661ce6,1,#2RJVQG992,,10000,,1,0
026c96fcc5176b98ab849b5f4efbdb52,0,#U9PYL2CCJ,2813,6012,29,3,1
026c96fcc5176b98ab849b5f4efbdb52,1,#J0VCRY029,2823,6003,-3,0,0
028010e0a48657f86a493ffcbedfe1dd,0,#RQQLUUG99,163,6166,-28,0,0
028010e0a48657f86a493ffcbedfe1dd,1,#VP8G2LP2Q,3758,6179,28,1,1
0298c53a228e90524f1c1a432f7fb85c,0,#8J2PLV9Y,47,2,,0,0
0298c53a228e90524f1c1a432f7fb85c,1,#VCJPRVCL9,151,,1,3,1
02a57f9c4510629363566295d29bc34d,0,#20GLQ89U2R,2911,3,,0,0
02a57f9c4510629363566295d29bc34d,1,#PPYYCQUCU,2912,3,1,3,1
02aed3452d3cc993d76c70cba2e37145,0,#UJ2CCYJ9L,924,8273,,2,1
02aed3452d3cc993d76c70cba2e37145,1,#20L22GVG0V,925,2506,,0,0
02b7b8cf5e2fb8a312fba3763db4b53b,0,#VQVUQQ2CG,2190,15,1,2,1
02b7b8cf5e2fb8a312fba3763db4b53b,1,#VPUP8P820,2191,4,,1,0
02c15e3132aef8a37dff2fb5c13b6f53,0,#902PCG9V2,1591,10,1,3,1
02c15e3132aef8a37dff2fb5c13b6f53,1,#8RY0RVGYC,1592,11,,0,0
02e5d06cfd4846f7f6baf5cccdc9d03b,0,#9UYQQP0RL,3133,10000,,1,1
