snapshot_id,deck_id,games_played,games_won,win_rate,pick_rate
1,3,3,3,100.00,0.18
1,17,19,6,31.58,1.15
1,21,1,0,0.00,0.06
1,33,1,0,0.00,0.06
1,42,5,3,60.00,0.30
1,49,6,5,83.33,0.36
1,59,3,3,100.00,0.18
1,69,1,1,100.00,0.06
1,103,2,1,50.00,0.12
1,130,15,8,53.33,0.91
1,163,21,10,47.62,1.27
1,170,2,2,100.00,0.12
1,172,8,5,62.50,0.48
1,182,6,4,66.67,0.36
1,191,4,3,75.00,0.24
1,193,9,6,66.67,0.55
1,219,4,1,25.00,0.24
1,220,1,0,0.00,0.06
1,222,1,1,100.00,0.06
1,223,1,1,100.00,0.06
1,225,9,8,88.89,0.55
1,226,1,1,100.00,0.06
1,232,7,1,14.29,0.42
1,236,24,9,37.50,1.45
1,245,8,5,62.50,0.48
1,247,14,10,71.43,0.85
1,249,19,9,47.37,1.15
1,251,1,0,0.00,0.06
1,256,3,1,33.33,0.18
1,260,16,14,87.50,0.97
1,267,5,0,0.00,0.30
1,275,2,0,0.00,0.12
1,279,1,1,100.00,0.06
1,285,5,3,60.00,0.30
1,287,17,9,52.94,1.03
1,289,7,4,57.14,0.42
1,300,7,4,57.14,0.42
1,306,2,0,0.00,0.12
1,309,3,0,0.00,0.18
1,314,2,2,100.00,0.12
1,315,9,7,77.78,0.55
1,317,14,7,50.00,0.85
1,331,1,1,100.00,0.06
1,333,16,8,50.00,0.97
1,345,2,1,50.00,0.12
1,352,10,7,70.00,0.61
1,359,14,13,92.86,0.85
1,378,2,2,100.00,0.12
1,382,4,3,75.00,0.24
1,394,8,5,62.50,0.48
1,395,20,13,65.00,1.21
1,402,12,8,66.67,0.73
1,404,4,3,75.00,0.24
1,415,14,10,71.43,0.85
1,417,1,0,0.00,0.06
1,418,5,1,20.00,0.30
1,427,25,13,52.00,1.52
1,435,2,2,100.00,0.12
1,451,1,0,0.00,0.06
1,464,9,4,44.44,0.55
1,468,13,6,46.15,0.79
1,489,2,0,0.00,0.12
1,491,8,6,75.00,0.48
1,500,27,14,51.85,1.64
1,505,3,2,66.67,0.18
1,509,4,3,75.00,0.24
1,521,1,0,0.00,0.06
1,523,2,2,100.00,0.12
1,531,3,3,100.00,0.18
1,537,1,1,100.00,0.06
1,563,3,1,33.33,0.18
1,578,7,5,71.43,0.42
1,583,10,5,50.00,0.61
1,604,1,1,100.00,0.06
1,612,1,1,100.00,0.06
1,621,1,0,0.00,0.06
1,675,1,0,0.00,0.06
1,704,1,0,0.00,0.06
1,705,1,0,0.00,0.06
1,706,3,1,33.33,0.18
1,714,2,1,50.00,0.12
1,755,1,1,100.00,0.06
1,774,1,0,0.00,0.06
1,775,1,0,0.00,0.06
1,776,1,0,0.00,0.06
1,777,1,0,0.00,0.06
1,778,1,0,0.00,0.06
1,779,1,0,0.00,0.06
1,780,1,0,0.00,0.06
1,781,1,1,100.00,0.06
1,782,1,0,0.00,0.06
1,787,3,3,100.00,0.18
1,788,1,0,0.00,0.06
1,789,1,0,0.00,0.06
1,790,1,0,0.00,0.06
1,791,1,1,100.00,0.06
1,796,1,0,0.00,0.06
1,797,1,0,0.00,0.06
1,798,1,1,100.00,0.06
1,799,16,10,62.50,0.97
1,800,1,1,100.00,0.06
1,801,1,0,0.00,0.06
1,802,2,2,100.00,0.12
1,803,1,1,100.00,0.06
1,804,1,0,0.00,0.06
1,805,1,0,0.00,0.06
1,806,1,0,0.00,0.06
1,807,1,1,100.00,0.06
1,808,1,1,100.00,0.06
1,809,1,0,0.00,0.06
1,810,1,0,0.00,0.06
1,811,1,1,100.00,0.06
1,812,1,0,0.00,0.06
1,813,1,0,0.00,0.06
1,814,1,1,100.00,0.06
1,845,1,0,0.00,0.06
1,846,1,1,100.00,0.06
1,903,1,0,0.00,0.06
1,904,1,0,0.00,0.06
1,905,1,0,0.00,0.06
1,906,1,0,0.00,0.06
1,907,1,0,0.00,0.06
1,908,1,1,100.00,0.06
1,909,1,0,0.00,0.06
1,910,1,0,0.00,0.06
1,911,1,0,0.00,0.06
1,912,1,0,0.00,0.06
1,913,1,0,0.00,0.06
1,914,1,0,0.00,0.06
1,915,1,1,100.00,0.06
1,916,1,0,0.00,0.06
