deck_id,deck_hash,avg_elixir,created_at
1,38f16c90c0e9893c0bad6b35e875f6c8aa507b942f203141d24a3c2bb4e49d34,3.3,2025-12-02 16:54:42
2,7278f274b091d9c6bef080f06919fcd7d43ae943fda9d499176aca80a8cce14f,3.9,2025-12-02 16:54:42
3,cacd8958981fa59387a40d33aef4a9b2dbb3f6ca286e6231fccfc6b6dc4ce9d2,4.1,2025-12-02 16:54:42
4,163ce5d878d418fac86e6d93bb7e5087b95f59747236af7fb25feae975083e47,4.1,2025-12-02 16:54:43
5,657ba94d0e4e3641485fcb24827b88ce500b8606dac99395b092afc44cdd4803,4.5,2025-12-02 16:54:43
6,6c22378fe6216cc6a8309f3a4aa9ce421496ce073f1a8b52bfe1d92ef8b68159,4.4,2025-12-02 16:54:43
7,3be500bd49a86e48332d65ae3284330db525e38a9bcf67bae6b7fde62a277c5f,5.0,2025-12-02 16:54:43
8,19520932db6bed1adcf339929ceacf2abfa13e113faddbad629d1463cc2955bd,4.6,2025-12-02 16:54:44
9,cdd162081e8339098b2d7c0ea2266311e5d2c01737c246f917e55d4826fa903c,4.8,2025-12-02 16:54:44
10,73d7c192176bff90bac8a199155ec560e87f8fe048d3f4c00f6e62350ccba094,4.1,2025-12-02 16:54:44
11,5a68f9a6e0a2568924b931e0903b0701c9221a0c259e1f45d38ee9c7c868470f,4.4,2025-12-02 16:54:44
12,0a5167b8cebb03b6b9cc61226812158d6f65ba711f6f1616fad46731fb2f8cc3,2.9,2025-12-02 16:54:45
13,27f5bd822be3b5d9cf0934995f24ff3b20db70a0eae96e5daee3bc5f0d2ac5d2,4.1,2025-12-02 16:54:45
14,191e9b0e3c4ae16729a11872e1ae583e0c33ad2365c83d741ce75800e4229d61,4.9,2025-12-02 16:54:45
15,1667ac7592cf4eafc69e8618e75f2390b6ce30408425894497ec07ed25c9dbd1,4.3,2025-12-02 16:54:46
16,3c93c201aedfdd35b1597fd4c0864e0a03222d622ddac66289185963952e06ee,3.6,2025-12-02 16:54:46
17,cc23b5a2333e13646ec6d62164ae0dde3fdaaad55dc54645500af87b956c1d25,2.6,2025-12-02 16:54:46
18,6c4d55ae1ee30c1cca637647ff1bfd19d5d8c7a04a5c19c80d6ab16a26f50b08,3.4,2025-12-02 16:54:46
19,808b95ba7cfeb66274b4ff2a81b3714e45a1ba5154d73a173d24916536644ff4,5.3,2025-12-02 16:54:47
20,79e68191c92156e56618d33881c4aa43cf472010ad2fba02e1a011cc93cb4e91,4.8,2025-12-02 16:54:47
21,44e97345ffe06f7793dc3933b84236f4a8d5afb5767b1cab44f6371f1a114f61,3.4,2025-12-02 16:54:47
22,46c42dd3e5f36d7aae145ff4b4f73414a647eea457ba2bb613af2129462e146b,4.6,2025-12-02 16:54:48
23,4bcfcc9d4fe9f94d31ad57819b8db266e67f799969cd79caaaa802c4d525a69d,5.4,2025-12-02 16:54:48
24,d695fde614206f94b084d546372e69ccdca98b140daff6ef8e2175223aa01fa7,4.0,2025-12-02 16:54:48
25,e9ff96b7d7cd9b77feb98b0fbe36c1bcfb3fd3d4a359fd40f25b35d68cfb0086,5.1,2025-12-02 16:54:48
26,65b94f0bafb56357345e84d040ba20c37c18dd3b4f79d9370fb288a9ef2659f8,5.1,2025-12-02 16:54:49
27,808705a7e4b4e87bf75e354bf7f05f4c2c5e819406ff39b139f8e271f008818b,4.6,2025-12-02 16:54:49
28,30c891a7e6cab7797881d105c4d96d250ea6cf7e44c6eeff78076f861254ac89,4.6,2025-12-02 16:54:49
29,e903c85418f0add00a3f2abed0f0681ecd332aeb7800fa576984316a158c5f31,3.4,2025-12-02 16:54:49
30,a21275e3b0a97f6ecc8855003d22be04b198cc52f6babdb2c5cc07742c6d81e8,5.3,2025-12-02 16:54:49
31,a30ef98c7528b93081558e710b3e557bcdb8e0967825f004b00bbac76bfa65cd,4.6,2025-12-02 16:54:50
32,1833917043d7f601899de9b4fb68d73938bca7abe5a9850ba30d0f9d518319c4,4.0,2025-12-02 16:54:50
33,e49c1259c62b0ed4dab5640f4a407337ccc4edbed9336344bdc000e5e86792a1,3.9,2025-12-02 16:54:50
34,440b7a1c21dc6f1a9133253fd84519dbeda57dbcd4ebf66292354fac27e173c3,4.3,2025-12-02 16:54:50
35,de9d67b212a4509b14ec2ca5bb800cfd2faada38914ab41110e7e9f54b7835f9,3.5,2025-12-02 16:54:50
36,b6e76e780219bd70964823c69786268a7318990daa5a692fdbc81acb4358b682,3.6,2025-12-02 16:54:50
37,ec6c652012d44cf6ffd28b0abf6c63b92a18d743ef3165141dffb6a2a7d5e538,3.6,2025-12-02 16:54:50
38,6d9cfbe211a502cd167655c895d2d439994ac1cda96e093d247e38cb50c91c58,5.0,2025-12-02 16:54:51
39,c1a7dcd2653c4a76548e4af04051def0daeb1237f984ca546868647d67d2f6b6,3.3,2025-12-02 16:54:51
40,3b8584f14efbe99eaa4534acbfe57d179b0adde7dc3887ab2cdfc54936240eda,4.1,2025-12-02 16:54:51
41,bb15ec5f699322192137fe2df882038b68ca41d4e4c41940494f203bc7601752,3.8,2025-12-02 16:54:51
42,61d2a7d3d5e0a33f8e8441bf44bda3618ebc349793dc7625f4ff6393ff887ad3,3.0,2025-12-02 16:54:52
43,b73f43c023b91044e4471c1aa0a2d7e7b70a7295c4cc616e43a44a08d6c2aa61,4.8,2025-12-02 16:54:52
44,f2c14ba8213a58607dbad3a88e51d823fe32101690da27a0f51dd122cb178dd8,4.3,2025-12-02 16:54:52
45,c7ef56c88ddffb96f3c4779a63e30907ee8efc24d71d9203e4383ce61adb65fb,4.1,2025-12-02 16:54:53
46,f28864c428db2850d7161849b57ab342e862d25b0392fd716b89e2b1bd96b210,5.1,2025-12-02 16:54:53
47,5c8fa3bcd32a981a836c35bf32c726fe0f7b01513e0a51ad2c809d254fd64ea1,3.4,2025-12-02 16:54:54
48,8b346f59cb1fb5a3bdd11c6a0844408f0511bfcd17b5306be0ecbb76c8bb9c3d,3.5,2025-12-02 16:54:54
49,b6e574d420e3871ba5488b3795f6a74872e5121bf5fb0b1925b8cd4c06b02d1c,4.6,2025-12-02 16:54:54
50,740ad010ac8ecb9b137488b804dffefcd563d672f24980e83b935aebf39bcf44,5.0,2025-12-02 16:54:55
51,40c8dcf617733320ced864471328cecfbc561569a40af47d7f0899e585ebaf1f,3.8,2025-12-02 16:54:56
52,6981db98d760553ad51b33f2eaab9207d3b1c5d7dca1f5edd9bce43e0f5ec288,4.8,2025-12-02 16:54:56
53,fb72b851f39fc433447f8f7d470ab5bccf598a7750916275e430023ba0b2b46c,3.9,2025-12-02 16:54:57
54,e80b1405330755bfe762f48ea9e2c7be4996aa059043e41aa3289ec5df0769a8,4.0,2025-12-02 16:54:57
55,be62fccb5b277f9f8be9443d1c9da28d6fdcf44639d1565d141a55a3258a74b3,4.9,2025-12-02 16:54:57
56,924aeb3be2ad118ddbd436e0d2899d16e94dd237ead4c2ff8c0e88c7bd24ca64,6.0,2025-12-02 16:54:57
57,d5a1f8678268bb0e81b86f9d16de4386529e1dd5d784f488eeb8e8bde71aee00,5.5,2025-12-02 16:54:57
58,574b7673522438d08e3f68e80c69668ffc4a343416e0da2c66411bb5d341aa3c,4.9,2025-12-02 16:54:58
59,7a1507406274e5b069fd72381f94a637cf7719ef5dbc9d84f9dc4d8d50fe83b0,4.9,2025-12-02 16:54:58
