tag,name,exp_level,trophies,best_trophies,wins,losses,battle_count,three_crown_wins,challenge_cards_won,tournament_cards_won,role,donations,donations_received,total_donations,war_day_wins,clan_cards_collected,last_updated
#2000JJ82RC,Kadita-,23,3368,3371,272,85,357,256,0,0,member,0,36,14,0,0,2025-12-01 12:20:50
#2000UCY0QR,bojarski99,56,10000,10000,1931,1638,3569,1069,0,0,leader,40,38,9371,0,0,2025-12-01 12:32:00
#2002GCV8LQ,Aryan292006,56,10030,10030,2994,2822,5816,1260,0,0,member,0,0,594,0,0,2025-12-01 12:29:04
#2002U9UGGL,xYoa,36,8000,8217,1666,1486,3152,583,0,0,leader,0,0,20,0,0,2025-12-01 12:45:41
#20082PQ2VY,Irvxng,34,6181,6181,576,313,889,224,0,0,elder,0,0,625,0,0,2025-12-01 12:48:26
#20088LVJJR,??,52,10030,10030,1892,1738,3630,743,86,0,member,0,0,600,0,0,2025-12-01 12:44:09
#2008C0GG92,Lazarov12,61,10036,10090,1492,1256,2748,739,0,0,elder,56,24,13060,0,0,2025-12-01 12:39:42
#2008U9JCQ9,yavar,56,10062,10094,2507,1879,4386,1011,0,0,elder,80,32,8959,0,0,2025-12-01 12:45:27
#200988YR0G,PAYNEX,74,10060,10060,1373,1111,2484,1266,0,0,elder,52,80,6915,0,0,2025-12-01 12:41:35
#2009C2GV0L,4zael ?X?,44,10000,10060,1075,877,1952,361,0,0,coLeader,26,48,6644,0,0,2025-12-01 12:33:35
#2009JUP2R,Tom CG,72,10000,10000,15321,13958,29279,8998,3518,264,elder,46,80,185963,226,578410,2025-12-01 12:50:32
#2009URQ8VY,leefix,19,1425,1451,121,100,221,64,0,0,member,0,0,0,0,0,2025-12-01 12:20:44
#200C9GC2,mamameltroso,61,10030,10030,3625,3262,6887,1628,1451,62,member,44,0,44775,3,10330,2025-12-01 12:41:49
#200CPVP0PV,Ego,49,8227,8284,1134,1054,2188,374,12,0,member,0,0,443,0,0,2025-12-01 12:47:01
#200CUC0CVV,???,40,10030,10060,1449,1146,2595,231,0,0,member,146,80,896,0,0,2025-12-01 12:29:04
#200CUYP0Q,Teo,59,10060,10090,5879,6097,11976,2265,1712,12,member,0,0,36289,58,114598,2025-12-01 12:33:17
#200G0GCGJG,yugi:<,42,10000,10000,3170,3079,6249,2277,996,0,NULL,0,0,17745,0,0,2025-12-01 12:42:23
#200G0JLP80,TrollShanks,54,10000,10000,9720,11831,21551,2889,6559,0,NULL,0,0,69831,0,0,2025-12-01 12:38:44
#200G0VCYJP,????,42,10000,10000,2999,3152,6151,1798,1118,0,NULL,0,0,43062,0,0,2025-12-01 12:35:07
#200G22P8VV,MacSamus,54,10000,10000,6125,13241,19366,4932,5913,0,NULL,0,0,106392,0,0,2025-12-01 12:40:53
#200G28RQY8,PogVanguard,42,8500,8590,3696,4978,8674,1296,1406,0,NULL,0,0,31957,0,0,2025-12-01 12:51:30
#200G2LQ9RR,Merlin74¿,54,10000,10000,11291,6239,17530,3882,2304,0,NULL,0,0,88811,0,0,2025-12-01 12:43:06
#200G2RPUC2,frikadel mainas,42,9782,9842,3387,4503,7890,2283,1536,0,NULL,0,0,45922,0,0,2025-12-01 12:50:18
#200G2Y22QU,yo q se,54,10000,10000,8607,11147,19754,4840,7854,0,NULL,0,0,107177,0,0,2025-12-01 12:34:31
#200G2YY2J8,SCfrieza,54,10000,10000,11123,12812,23935,5022,2290,0,NULL,0,0,84270,0,0,2025-12-01 12:23:20
#200G80QPPC,ElectricNacho?,42,9053,9165,4073,3526,7599,2111,842,0,NULL,0,0,30621,0,0,2025-12-01 12:51:45
#200G82822R,SilverNoctis,42,10000,10000,4458,4533,8991,2077,2661,0,NULL,0,0,15199,0,0,2025-12-01 12:26:56
#200G8C80P2,RagingTaco?,42,10000,10000,3687,4503,8190,2104,2539,0,NULL,0,0,24551,0,0,2025-12-01 12:26:56
#200G8CPGU2,Sorcerer,42,10000,10000,3614,3929,7543,2073,481,0,NULL,0,0,24154,0,0,2025-12-01 12:30:34
#200G8QCLQR,GGemberlight,42,10000,10000,3940,4481,8421,1183,1586,0,NULL,0,0,41464,0,0,2025-12-01 12:35:46
#200G8RQCL8,Eternal_Sasha,38,7566,7656,2388,3142,5530,1272,633,0,NULL,0,0,14807,0,0,2025-12-01 12:46:03
#200G8UY2PR,SParKDUmplIng,54,10000,10000,9592,8653,18245,3408,4179,0,NULL,0,0,119132,0,0,2025-12-01 12:33:29
#200G99CPL2,BrutalHeikki,42,10000,10000,3128,4981,8109,1674,2046,0,NULL,0,0,41419,0,0,2025-12-01 12:21:17
#200G9CLGLQ,NOBle_BrOwNIE,42,9000,9138,4285,3765,8050,2382,840,0,NULL,0,0,36775,0,0,2025-12-01 12:51:46
#200G9JPJYC,BrutalDante?,42,10000,10000,3158,4033,7191,1572,1619,0,NULL,0,0,48722,0,0,2025-12-01 12:30:25
#200G9JUYQ9,VastGladiator,34,7443,7503,1425,2083,3508,789,532,0,NULL,0,0,6157,0,0,2025-12-01 12:46:25
#200G9LP8UR,SEPHIROth69,42,8627,8630,3299,4157,7456,1393,1499,0,NULL,0,0,25115,0,0,2025-12-01 12:51:30
#200G9PQP8Y,ViciousZeke,54,10000,10000,6954,13421,20375,5237,5071,0,NULL,0,0,132134,0,0,2025-12-01 12:34:32
#200G9UR8VL,Fiery_Taco,54,10000,10000,8671,7447,16118,3364,2812,0,NULL,0,0,86122,0,0,2025-12-01 12:26:45
#200G9V229Y,daddy,54,10000,10000,10556,11999,22555,3370,7036,0,NULL,0,0,109482,0,0,2025-12-01 12:26:44
#200GCGLPUV,Gustavoww,55,10000,10000,1217,851,2068,443,1448,0,NULL,0,0,42,0,0,2025-12-01 12:30:11
#200GLPGLPR,Slim_Zenitsu,42,8642,8732,3959,3239,7198,1205,2553,0,NULL,0,0,41773,0,0,2025-12-01 12:48:41
#200GLUPJJR,UwUevilbasilisk,38,8226,8256,2223,2639,4862,706,869,0,NULL,0,0,16692,0,0,2025-12-01 12:51:49
#200GPG89LV,DBZroyal_shuna?,42,10000,10000,3600,4393,7993,2122,1359,0,NULL,0,0,29017,0,0,2025-12-01 12:34:33
#200GPJR9P2,SusAshe?,42,9104,9164,3527,3079,6606,1752,1876,0,NULL,0,0,32994,0,0,2025-12-01 12:51:46
#200GPLLR0Y,ahiaa,34,6887,7009,1142,1257,2399,630,102,0,NULL,0,0,5368,0,0,2025-12-01 12:46:39
#200GPPLQUY,WoKEHyDRA,38,8392,8500,1612,3602,5214,1009,606,0,NULL,0,0,10983,0,0,2025-12-01 12:49:18
#200GPR9Y8Q,FAIDH ON FIRE,55,10030,10060,3429,3472,6901,889,0,0,member,0,0,6320,0,0,2025-12-01 12:41:42
