tournament_tag,player_tag,rank_position,score
#2CYYPLVG,#2029L09G,101,2
#2CYYPLVG,#20UVUP2QP,146,0
#2CYYPLVG,#22C0LY9J8,129,1
#2CYYPLVG,#22UY2Q2QQ,26,6
#2CYYPLVG,#28208PUQ,16,8
#2CYYPLVG,#28LRCVL0,161,0
#2CYYPLVG,#28Q0JUJGL,156,0
#2CYYPLVG,#28VLY2Q,25,6
#2CYYPLVG,#29JQQP0CQ,134,1
#2CYYPLVG,#29V2VQC8V,106,1
#2CYYPLVG,#2C0V00PPV,52,4
#2CYYPLVG,#2C2QRCCL,152,0
#2CYYPLVG,#2CV28R9G,143,0
#2CYYPLVG,#2G8UG9RJQ,46,4
#2CYYPLVG,#2GGQ8JUQ2,64,3
#2CYYPLVG,#2GQJPCGL2,7,10
#2CYYPLVG,#2GYY0YQGG,132,1
#2CYYPLVG,#2JRY2P80G,127,1
#2CYYPLVG,#2JVRJJP92,122,1
#2CYYPLVG,#2L2Y00RC2,21,6
#2CYYPLVG,#2LCCQGYCR,9,10
#2CYYPLVG,#2LQQJQRCY,128,1
#2CYYPLVG,#2LV99R0UY,166,0
#2CYYPLVG,#2P2Q99G9C,43,5
#2CYYPLVG,#2PJUC099U,82,3
#2CYYPLVG,#2PLJ8RQU,38,5
#2CYYPLVG,#2PRVLRVUV,19,7
#2CYYPLVG,#2Q9RVQ02,79,3
#2CYYPLVG,#2QL9Q89P0,49,4
#2CYYPLVG,#2QLU89LVG,130,1
#2CYYPLVG,#2QUVVJG,160,0
#2CYYPLVG,#2U2L8J9C,61,3
#2CYYPLVG,#2UJRQ0YGP,138,0
#2CYYPLVG,#2V9082R22,151,0
#2CYYPLVG,#2Y8LYRP2C,14,8
#2CYYPLVG,#2YJRRP8YR,153,0
#2CYYPLVG,#80CUU8R2,126,1
#2CYYPLVG,#80GLGGVCY,117,1
#2CYYPLVG,#80PU2LGJ,15,8
#2CYYPLVG,#82GGRQQCU,17,7
#2CYYPLVG,#82RPRJYPJ,142,0
#2CYYPLVG,#82YU00CLL,162,0
#2CYYPLVG,#888G000UC,169,0
#2CYYPLVG,#892UCP2G8,133,1
#2CYYPLVG,#8988QRUYV,39,5
#2CYYPLVG,#89V8LCLV8,74,3
#2CYYPLVG,#8C8QP8JJV,116,1
#2CYYPLVG,#8CY2C890V,54,4
#2CYYPLVG,#8J2PLV9Y,111,1
#2CYYPLVG,#8L2G20GC,109,1
#2CYYPLVG,#8LPJR8YC2,51,4
#2CYYPLVG,#8LVYVVPPU,4,11
#2CYYPLVG,#8PUCPYCPC,87,2
#2CYYPLVG,#8PURYVPQL,66,3
#2CYYPLVG,#8Q9QJV22,75,3
#2CYYPLVG,#8QJC2VYPJ,69,3
#2CYYPLVG,#8R0V0JQUY,113,1
#2CYYPLVG,#8RPCL9808,108,1
#2CYYPLVG,#8RQPV2QR0,2,13
#2CYYPLVG,#8RYPLY0V,11,9
#2CYYPLVG,#8U29CJU2G,131,1
#2CYYPLVG,#8U8V0PQ0Y,73,3
#2CYYPLVG,#8UUQJGGRP,98,2
#2CYYPLVG,#8UYGLGUCY,120,1
#2CYYPLVG,#8VJY20VCQ,110,1
#2CYYPLVG,#8VVPPLVL,35,5
#2CYYPLVG,#8Y8JRLQ0G,107,1
#2CYYPLVG,#8YC2V8PR,76,3
#2CYYPLVG,#900GU2GRQ,56,3
#2CYYPLVG,#900QRPPRL,28,6
#2CYYPLVG,#902PCG9V2,102,2
#2CYYPLVG,#90LLYGPPG,80,3
#2CYYPLVG,#90VP8RLP0,164,0
#2CYYPLVG,#922Y9R2CQ,27,6
#2CYYPLVG,#92PCCVYR,22,6
#2CYYPLVG,#92UUVVY8C,121,1
#2CYYPLVG,#9800JGCPL,36,5
#2CYYPLVG,#98PRR809U,20,7
#2CYYPLVG,#99GU0PLVY,24,6
#2CYYPLVG,#99LRY0R00,105,1
#2CYYPLVG,#9CCQ0GU9,104,1
#2CYYPLVG,#9CRR2L9Q,41,5
#2CYYPLVG,#9CYUVYC0U,71,3
#2CYYPLVG,#9GCR9RQP,89,2
#2CYYPLVG,#9GJYYCGQ,165,0
#2CYYPLVG,#9GQUY0PJ9,23,6
#2CYYPLVG,#9J8PVGVCY,168,0
#2CYYPLVG,#9L2GP0J0V,88,2
#2CYYPLVG,#9PCQ0Q2G8,47,4
#2CYYPLVG,#9PY28YG9Y,55,4
#2CYYPLVG,#9Q2R0UUCV,34,5
#2CYYPLVG,#9QY9Y8LLY,70,3
#2CYYPLVG,#9RL8JL98,53,4
#2CYYPLVG,#9RQUYC00R,119,1
#2CYYPLVG,#9U9JQLUU,29,5
#2CYYPLVG,#9UULVRVRJ,3,12
#2CYYPLVG,#9V8VGQYYJ,81,3
#2CYYPLVG,#9Y9R9JYV,90,2
#2CYYPLVG,#9YCPR8JC9,92,2
#2CYYPLVG,#9YV098UGY,45,4
#2CYYPLVG,#C0PLR8CG,125,1
#2CYYPLVG,#C80UJYR,86,2
#2CYYPLVG,#C8YVG8VJ0,57,3
#2CYYPLVG,#CCCCQVQ8Q,58,3
#2CYYPLVG,#CG289JR,123,1
#2CYYPLVG,#CRL82U89,95,2
#2CYYPLVG,#CRYL0Q8J,97,2
#2CYYPLVG,#CV2JRG2R2,8,10
#2CYYPLVG,#CYPPCVVQ,155,0
#2CYYPLVG,#GQUQY008C,77,3
#2CYYPLVG,#J2PQJ9GRY,30,5
#2CYYPLVG,#JPG88UQ,93,2
#2CYYPLVG,#JU2RG02CJ,50,4
#2CYYPLVG,#L0RGPG8Y8,136,0
#2CYYPLVG,#L2P8028RQ,103,1
#2CYYPLVG,#L9G99JPGQ,31,5
#2CYYPLVG,#LC8VU8U8,148,0
#2CYYPLVG,#LGJLVLP2P,33,5
#2CYYPLVG,#LGRPG0P,1,16
#2CYYPLVG,#LLVVR8G0,149,0
#2CYYPLVG,#LP08RCCQC,137,0
#2CYYPLVG,#LQ899G80U,94,2
#2CYYPLVG,#LQRPV2Y,67,3
