tournament_tag,name,description,status,tournament_type,capacity,max_capacity,level_cap,game_mode_name,created_time,started_time,first_place_prize,collected_at
#2CYYPLVG,a adam 60th,,inProgress,open,169,500,11,,2025-12-02 19:39:06,2025-12-02 19:39:08,0,2025-12-02 16:54:33
#2GQCRG9C,Melhor do clash,Só poderá jogar com o seu deck não poderá mudar,inProgress,passwordProtected,4,10,11,,2025-12-02 21:12:08,2025-12-02 21:14:15,0,2025-12-02 16:54:39
#2GQU80YL,torneo a caso,,inProgress,open,4,10,11,,2025-12-02 19:05:50,2025-12-02 20:05:50,0,2025-12-02 16:54:33
#2GQVY2YG,warzdragontk,por pass ,inPreparation,open,1,10,11,,2025-12-02 20:38:02,,0,2025-12-02 16:54:38
#2JLRJU08,promotion,whoever wins is the goat and gets a promo,inProgress,open,1,1000,16,,2025-12-02 20:53:37,2025-12-02 21:21:28,0,2025-12-02 16:54:37
#2JLRL02Y,a b c a b c1234,,inProgress,open,3,1000,11,,2025-12-02 20:53:57,2025-12-02 20:54:02,0,2025-12-02 16:54:33
#2JLRRJPJ,aña,,inProgress,passwordProtected,6,50,11,,2025-12-02 19:46:42,2025-12-02 19:51:51,0,2025-12-02 16:54:34
#2JLRYUC2,eıkıntı,,inProgress,open,3,10,11,,2025-12-02 20:53:55,2025-12-02 20:54:05,0,2025-12-02 16:54:35
#2JPU90VP,Torneo profondos,unete y disfruta,inProgress,open,10,10,13,,2025-12-02 18:14:45,2025-12-02 19:14:45,0,2025-12-02 16:54:37
#2JPUL9PV,Prove yourself Worthy,Clapped Royale Offical Tournament,inProgress,open,1,10,11,,2025-12-02 19:09:02,2025-12-02 19:09:14,0,2025-12-02 16:54:37
#2JPULPRP,pvp manco 7 a 0,qsy,inPreparation,passwordProtected,2,10,11,,2025-12-02 21:50:05,,0,2025-12-02 16:54:34
#2JPV2P0G,warzlive,TIRNEO X PASEE,inProgress,passwordProtected,182,1000,11,,2025-12-02 20:41:56,2025-12-02 21:09:46,0,2025-12-02 16:54:38
#2JPV8PYJ,COPA PROS,solo pros,inProgress,open,1,10,11,,2025-12-02 21:49:29,2025-12-02 21:49:36,0,2025-12-02 16:54:37
#2JPVGCCR,wars,,inPreparation,passwordProtected,1,1000,11,,2025-12-02 20:41:40,,0,2025-12-02 16:54:38
#2Q8CQ2RU,los pro,únete o miedo,inPreparation,open,2,10,11,,2025-12-02 20:59:26,,0,2025-12-02 16:54:36
#2Q8CQPPL,Bomba Serie A,,inProgress,passwordProtected,6,10,11,,2025-12-02 20:59:30,2025-12-02 21:04:07,0,2025-12-02 16:54:33
#2Q8J88G2,camp de clash,,inProgress,open,1,10,11,,2025-12-02 20:28:19,2025-12-02 21:28:19,0,2025-12-02 16:54:39
#2Q8J8CJ2,CLASHUTOO,,inPreparation,open,2,1000,13,,2025-12-02 21:34:24,,0,2025-12-02 16:54:41
#2Q8JLP0Q,el risas,.,inProgress,passwordProtected,4,10,16,,2025-12-02 18:28:46,2025-12-02 18:29:14,0,2025-12-02 16:54:35
#2Q8JPC80,amgot,,inProgress,passwordProtected,4,10,11,,2025-12-02 18:29:09,2025-12-02 18:29:41,0,2025-12-02 16:54:34
#2Q8RLJRP,a b c clash elite 1 2 3 4 aa d,tournoi,inProgress,open,150,1000,11,,2025-12-02 17:09:34,2025-12-02 18:09:34,0,2025-12-02 16:54:41
#2Q8RP9YJ,los pros,,inPreparation,passwordProtected,2,10,11,,2025-12-02 20:30:27,,0,2025-12-02 16:54:37
#2Q9U20U0,los pros,******************************,inProgress,passwordProtected,1,10,11,,2025-12-02 19:50:07,2025-12-02 19:53:57,0,2025-12-02 16:54:36
#2QVL2VQL,A triple draft,,inProgress,open,3,200,11,,2025-12-02 20:34:41,2025-12-02 21:34:41,0,2025-12-02 16:54:34
#2QVLY99Y,EL CAMPEON ccrl,ganar ,inProgress,open,5,50,11,,2025-12-02 19:29:21,2025-12-02 19:29:42,0,2025-12-02 16:54:34
#2QVPUVCR,torneo deyvis es kbro,,inProgress,open,2,10,11,,2025-12-02 19:30:57,2025-12-02 20:30:57,0,2025-12-02 16:54:36
#2QVQ2U2U,team clashito,😎,inPreparation,passwordProtected,1,50,11,,2025-12-02 21:41:19,,0,2025-12-02 16:54:39
#2QVQY2CC,el que gana gay,el que pierde ,inProgress,open,4,10,16,,2025-12-02 19:57:55,2025-12-02 19:59:34,0,2025-12-02 16:54:35
#2QVQYUP2,Saquen Clashito,,inProgress,passwordProtected,7,50,11,,2025-12-02 20:33:38,2025-12-02 21:18:31,0,2025-12-02 16:54:39
#2QVYRUGV,clash,,inPreparation,passwordProtected,1,10,16,,2025-12-02 21:42:39,,0,2025-12-02 16:54:39
#2QYLCJGP,clash royale,pls join,inProgress,open,9,1000,11,,2025-12-02 17:33:05,2025-12-02 18:33:05,0,2025-12-02 16:54:41
#2QYQ0R28,EnesiGötten,,inProgress,open,4,10,11,,2025-12-02 20:24:45,2025-12-02 20:32:47,0,2025-12-02 16:54:35
#2V88UY2U,viva papi ala orden,si ganan les presento a mis primas,inProgress,open,1,100,11,,2025-12-02 17:28:04,2025-12-02 18:28:04,0,2025-12-02 16:54:34
#2V88VU0L,A B C D JOIN GrimReapers!,Trying to build Active Clan with none but demons😈,inProgress,open,26,1000,11,,2025-12-02 18:47:19,2025-12-02 19:47:19,0,2025-12-02 16:54:33
#2V8P0Q29,Link el malo,Si,inProgress,open,3,1000,16,,2025-12-02 18:46:24,2025-12-02 18:47:48,0,2025-12-02 16:54:36
#8298QG09,erik,a,inProgress,open,1,10,11,,2025-12-02 17:51:29,2025-12-02 18:51:29,0,2025-12-02 16:54:35
#829PUVGY,pabliyo es gey,,inProgress,passwordProtected,2,200,11,,2025-12-02 19:40:35,2025-12-02 19:41:05,0,2025-12-02 16:54:35
#829Y0QC9,quem eo melhor??,sei lá ,inPreparation,open,1,10,11,,2025-12-02 21:18:40,,0,2025-12-02 16:54:35
